name,year,type,value,unit,full_name,text
co2_storage_lifetime,2050,f,25.0,years,CO2 storage tank lifetime,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 ."
hydrogen_compressor_discount,,f,5,percent,Hydrogen storage compressor discount rate,
hydrogen_compressor_cost,2020,f,87.7,EUR/kWh_H2,Hydrogen storage compressor capital cost (overnight),"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.4."
hydrogen_compressor_fom,2020,f,4.0,percent of overnight cost per year,Hydrogen storage compressor fixed operation and maintenance costs,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.4."
hydrogen_compressor_lifetime,2020,f,15.0,years,Hydrogen storage compressor lifetime,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.4."
hydrogen_compressor_cost,2030,f,87.7,EUR/kWh_H2,Hydrogen storage compressor capital cost (overnight),"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.4."
hydrogen_compressor_fom,2030,f,4.0,percent of overnight cost per year,Hydrogen storage compressor fixed operation and maintenance costs,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.4."
hydrogen_compressor_lifetime,2030,f,15.0,years,Hydrogen storage compressor lifetime,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.4."
hydrogen_compressor_cost,2040,f,87.7,EUR/kWh_H2,Hydrogen storage compressor capital cost (overnight),"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.4."
hydrogen_compressor_fom,2040,f,4.0,percent of overnight cost per year,Hydrogen storage compressor fixed operation and maintenance costs,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.4."
hydrogen_compressor_lifetime,2040,f,15.0,years,Hydrogen storage compressor lifetime,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.4."
hydrogen_compressor_cost,2050,f,87.7,EUR/kWh_H2,Hydrogen storage compressor capital cost (overnight),"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.4."
hydrogen_compressor_fom,2050,f,4.0,percent of overnight cost per year,Hydrogen storage compressor fixed operation and maintenance costs,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.4."
hydrogen_compressor_lifetime,2050,f,15.0,years,Hydrogen storage compressor lifetime,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.4."
battery_power_efficiency_charging,2020,f,97.46794344808963,percent,Battery power charging efficiency,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_efficiency_charging,2030,f,97.97958971132712,percent,Battery power charging efficiency,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_efficiency_charging,2040,f,97.97958971132712,percent,Battery power charging efficiency,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_efficiency_charging,2050,f,97.97958971132712,percent,Battery power charging efficiency,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_efficiency_discharging,2020,f,97.46794344808963,percent,Battery power discharging efficiency,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_efficiency_discharging,2030,f,97.97958971132712,percent,Battery power discharging efficiency,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_efficiency_discharging,2040,f,97.97958971132712,percent,Battery power discharging efficiency,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_efficiency_discharging,2050,f,97.97958971132712,percent,Battery power discharging efficiency,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
heat_pump_efficiency,2020,f,254.99999999999997,percent,Industrial heat pump COP,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_efficiency,2030,f,270.0,percent,Industrial heat pump COP,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_efficiency,2040,f,280.0,percent,Industrial heat pump COP,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_efficiency,2050,f,285.0,percent,Industrial heat pump COP,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
hydrogen_electrolyser_efficiency,2020,f,66.0,"""percent, LHV""",Hydrogen electrolyser efficiency,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_efficiency,2030,f,68.0,"""percent, LHV""",Hydrogen electrolyser efficiency,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_efficiency,2040,f,72.0,"""percent, LHV""",Hydrogen electrolyser efficiency,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_efficiency,2050,f,75.0,"""percent, LHV""",Hydrogen electrolyser efficiency,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_turbine_efficiency,2020,f,56.00000000000001,"""percent, LHV""",Hydrogen combined cycle turbine efficiency,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_efficiency,2030,f,57.99999999999999,"""percent, LHV""",Hydrogen combined cycle turbine efficiency,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_efficiency,2040,f,59.0,"""percent, LHV""",Hydrogen combined cycle turbine efficiency,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_efficiency,2050,f,60.0,"""percent, LHV""",Hydrogen combined cycle turbine efficiency,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_electrolyser_water,,f,0.27000027000027,m3-H2O/MWh-H2-LHV,Hydrogen electrolyser water input,-
desalination_electricity,,f,0.003,MWh-el/m3-H2O,Seawater desalination electricity input,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Fig. 4."
hydrogen_submarine_pipeline_losses,,f,2.100000000000002,percent/1000km,Hydrogen submarine pipeline losses,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140."
hvdc_submarine_cable_losses,,f,2.300000000000002,percent/1000km,HVDC submarine cable losses,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .
methanolisation_efficiency,,f,0.8787469104929423,MWh-MeOH-LHV/MWh-H2-LHV,Methanol synthesis efficiency wrt hydrogen,"DECHEMA 2017: DECHEMA: Low carbon energy and feedstock for the European chemical industry , pg. 64."
methanolisation_co2,,f,0.24800852585755315,tCO2/MWh-MeOH-LHV,Methanol synthesis carbon dioxide input,"DECHEMA 2017: DECHEMA: Low carbon energy and feedstock for the European chemical industry , pg. 66."
methanolisation_electricity,,f,0.2709488629179386,MWhel/MWh-MeOH-LHV,Methanol synthesis electricity input,"DECHEMA 2017: DECHEMA: Low carbon energy and feedstock for the European chemical industry , pg. 65."
ft_efficiency,,f,0.5628140703517589,MWh-FT-LHV/MWh-H2-LHV,Fischer-Tropsch synthesis efficiency wrt hydrogen,DEA technology data for Renewable fuels (2018): Hydrogen to Power.
ft_co2,,f,0.40625,tCO2/MWh-FT-LHV,Fischer-Tropsch synthesis carbon dioxide input,DEA technology data for Renewable fuels (2018): Hydrogen to Power.
ft_electricity,,f,0.008928571428571428,MWhel/MWh-FT-LHV,Fischer-Tropsch synthesis electricity input,DEA technology data for Renewable fuels (2018): Hydrogen to Power.
methanation_efficiency,,f,0.7799979782323011,MWh-CH4-LHV/MWh-H2-LHV,Methanation efficiency wrt hydrogen,"Götz et al. (2016), fig. 11 ."
methanation_co2,,f,0.19800126720811012,tCO2/MWh-CH4-LHV,Methanation carbon dioxide input,
methane_liquefaction_electricity,,f,0.03597122302158273,MWh-el/MWh-CH4-LHV,Methane liquefaction electricity input,"Pospíšil et al. 2019: https://doi.org/10.1016/j.rser.2018.09.027 , Table 2 and Table 3. Source 2: https://encyclopedia.airliquide.com/methane (2021-02-10)."
hydrogen_liquefaction_efficiency,,f,0.9834999999999999,MWh-H2-liquid/MWh-H2-gas,Hydrogen liquefaction efficiency,"Heuser et al. 2019: https://doi.org/10.1016/j.ijhydene.2018.12.156, table 1."
hydrogen_liquefaction_electricity,,f,0.2034002034002034,MWh-el/MWh-H2-LHV,Hydrogen liquefaction electricity input,"Heuser et al. 2019: https://doi.org/10.1016/j.ijhydene.2018.12.156, table 1."
dac_electricity,,f,0.28,MWh/tCO2,Direct air capture electricity consumption,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
dac_heat,,f,1.5,MWh/tCO2,Direct air capture heat consumption,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
air_separation_unit_efficiency,,f,4.0,tN2/MWhel,Air separation unit output,"Danish Energy Agency, Technology Data for Renewable Fuels (04/2022), pg.288 ."
haber_bosch_efficiency,,f,0.8707761516750281,MWh-NH3-LHV/MWh-H2-LHV,Haber-Bosch ammonia synthesis hydrogen input,"DECHEMA 2017: DECHEMA: Low carbon energy and feedstock for the European chemical industry , pg. 57."
haber_bosch_electricity,,f,0.2472999651608408,MWhel/MWh-NH3-LHV,Haber-Bosch ammonia synthesis electricity input,"DECHEMA 2017: DECHEMA: Low carbon energy and feedstock for the European chemical industry , table 11."
haber_bosch_nitrogen,,f,0.1596794797352224,tN2/MWh-NH3-LHV,Haber-Bosch ammonia synthesis nitrogen input,"DECHEMA 2017: DECHEMA: Low carbon energy and feedstock for the European chemical industry , pg. 57."
hydrogen_compressor_electricity,,f,0.12000012000011999,MWhel/MWh-H2-LHV,Hydrogen storage compressor electricity input,"DEA technology data for energy storage, pg. 82 ."
methanol_ship_discount,,f,5,percent,methanol shipping discount rate,
methanol_ship_loading_loss,,f,0.0,%/transfer,methanol shipping unloading/loading loss,"Guesstimate, transfer of simple non-cryogenic fluid."
methanol_ship_loading_time,,f,48.0,h,methanol shipping unloading/loading time,Assume same as for LOHC.
methanol_ship_average_speed,,f,27.8,km/h,methanol shipping average speed,Assume same as for LOHC.
methanol_ship_capacity_mwh,,f,415208.0,MWh_LHV,methanol shipping energy capacity,Based on MeOH LHV of 5.53611 MWh/t_MeOH and 75000t capacity.
methanol_ship_energy_demand,,f,0.2428,MWh/km,methanol shipping energy demand,Assume same as for LOHC.
methanol_ship_fom,2020,f,5.0,%/year,methanol shipping fixed operation and maintenance costs,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_fom,2030,f,5.0,%/year,methanol shipping fixed operation and maintenance costs,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_fom,2040,f,5.0,%/year,methanol shipping fixed operation and maintenance costs,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_fom,2050,f,5.0,%/year,methanol shipping fixed operation and maintenance costs,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_cost,2020,f,35000000.0,EUR,methanol shipping capital cost (overnight),"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_cost,2030,f,35000000.0,EUR,methanol shipping capital cost (overnight),"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_cost,2040,f,35000000.0,EUR,methanol shipping capital cost (overnight),"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_cost,2050,f,35000000.0,EUR,methanol shipping capital cost (overnight),"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_lifetime,2020,f,15.0,years,methanol shipping lifetime,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_lifetime,2030,f,15.0,years,methanol shipping lifetime,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_lifetime,2040,f,15.0,years,methanol shipping lifetime,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_lifetime,2050,f,15.0,years,methanol shipping lifetime,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_capacity_t,2020,f,75000.0,t_MeOH,methanol shipping mass capacity,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_capacity_t,2030,f,75000.0,t_MeOH,methanol shipping mass capacity,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_capacity_t,2040,f,75000.0,t_MeOH,methanol shipping mass capacity,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
methanol_ship_capacity_t,2050,f,75000.0,t_MeOH,methanol shipping mass capacity,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ammonia_ship_discount,,f,5,percent,ammonia shipping discount rate,
ammonia_ship_loading_loss,,f,0.0,%/transfer,ammonia shipping unloading/loading loss,"Guesstimate, possibly negligible losses due to relatively close to ambient transport temperature."
ammonia_ship_loading_time,,f,48.0,h,ammonia shipping unloading/loading time,Assume same as for CH4 (l).
ammonia_ship_average_speed,,f,37.0,km/h,ammonia shipping average speed,Assume same as for CH4 (l).
ammonia_ship_capacity_mwh,,f,273830.0,MWh_LHV,ammonia shipping energy capacity,Based on NH3 LHV of 5.1666 MWh/t_NH3 and 53000 t capacity.
ammonia_ship_energy_demand,,f,0.5675,MWh/km,ammonia shipping energy demand,Assume same as for CH4 (l).
ammonia_ship_fom,2020,f,4.0,%/year,ammonia shipping fixed operation and maintenance costs,"Cihlar et al 2020 based on IEA 2019, Table 3-B"
ammonia_ship_fom,2030,f,4.0,%/year,ammonia shipping fixed operation and maintenance costs,"Cihlar et al 2020 based on IEA 2019, Table 3-B"
ammonia_ship_fom,2040,f,4.0,%/year,ammonia shipping fixed operation and maintenance costs,"Cihlar et al 2020 based on IEA 2019, Table 3-B"
ammonia_ship_fom,2050,f,4.0,%/year,ammonia shipping fixed operation and maintenance costs,"Cihlar et al 2020 based on IEA 2019, Table 3-B"
ammonia_ship_cost,2020,f,82212000.0,EUR,ammonia shipping capital cost (overnight),"Cihlar et al 2020 based on IEA 2019, Table 3-B"
ammonia_ship_cost,2030,f,82212000.0,EUR,ammonia shipping capital cost (overnight),"Cihlar et al 2020 based on IEA 2019, Table 3-B"
ammonia_ship_cost,2040,f,82212000.0,EUR,ammonia shipping capital cost (overnight),"Cihlar et al 2020 based on IEA 2019, Table 3-B"
ammonia_ship_cost,2050,f,82212000.0,EUR,ammonia shipping capital cost (overnight),"Cihlar et al 2020 based on IEA 2019, Table 3-B"
ammonia_ship_lifetime,2020,f,20.0,years,ammonia shipping lifetime,"Guess estimated based on H2 (l) tanker, but more mature technology"
ammonia_ship_lifetime,2030,f,20.0,years,ammonia shipping lifetime,"Guess estimated based on H2 (l) tanker, but more mature technology"
ammonia_ship_lifetime,2040,f,20.0,years,ammonia shipping lifetime,"Guess estimated based on H2 (l) tanker, but more mature technology"
ammonia_ship_lifetime,2050,f,20.0,years,ammonia shipping lifetime,"Guess estimated based on H2 (l) tanker, but more mature technology"
ammonia_ship_capacity_t,2020,f,53000.0,t_NH3,ammonia shipping mass capacity,"Cihlar et al 2020 based on IEA 2019, Table 3-B"
ammonia_ship_capacity_t,2030,f,53000.0,t_NH3,ammonia shipping mass capacity,"Cihlar et al 2020 based on IEA 2019, Table 3-B"
ammonia_ship_capacity_t,2040,f,53000.0,t_NH3,ammonia shipping mass capacity,"Cihlar et al 2020 based on IEA 2019, Table 3-B"
ammonia_ship_capacity_t,2050,f,53000.0,t_NH3,ammonia shipping mass capacity,"Cihlar et al 2020 based on IEA 2019, Table 3-B"
methane_ship_discount,,f,5,percent,methane shipping discount rate,
methane_ship_loading_loss,,f,0.7,%/transfer,methane shipping unloading/loading loss,
methane_ship_loading_time,,f,48.0,h,methane shipping unloading/loading time,
methane_ship_average_speed,,f,37.0,km/h,methane shipping average speed,
methane_ship_capacity_mwh,,f,809717.0,MWh_LHV,methane shipping energy capacity,Based on CH4 LHV of 13.8888 MWh/t_CH4 and 58300 t capacity.
methane_ship_energy_demand,,f,0.5675,MWh/km,methane shipping energy demand,Taken from source (average fuel demand / average cruising speed) without 50% efficiency.
methane_ship_fom,2020,f,3.5,%/year,methane shipping fixed operation and maintenance costs,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_fom,2030,f,3.5,%/year,methane shipping fixed operation and maintenance costs,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_fom,2040,f,3.5,%/year,methane shipping fixed operation and maintenance costs,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_fom,2050,f,3.5,%/year,methane shipping fixed operation and maintenance costs,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_cost,2020,f,166716201.3,EUR,methane shipping capital cost (overnight),"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_cost,2030,f,166716201.3,EUR,methane shipping capital cost (overnight),"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_cost,2040,f,166716201.3,EUR,methane shipping capital cost (overnight),"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_cost,2050,f,166716201.3,EUR,methane shipping capital cost (overnight),"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_lifetime,2020,f,25.0,years,methane shipping lifetime,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_lifetime,2030,f,25.0,years,methane shipping lifetime,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_lifetime,2040,f,25.0,years,methane shipping lifetime,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_lifetime,2050,f,25.0,years,methane shipping lifetime,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_capacity_t,2020,f,58300.0,t_CH4,methane shipping mass capacity,"Calculated, based on Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_capacity_t,2030,f,58300.0,t_CH4,methane shipping mass capacity,"Calculated, based on Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_capacity_t,2040,f,58300.0,t_CH4,methane shipping mass capacity,"Calculated, based on Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
methane_ship_capacity_t,2050,f,58300.0,t_CH4,methane shipping mass capacity,"Calculated, based on Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306"
lh2_ship_discount,,f,5,percent,lh2 shipping discount rate,
lh2_ship_loading_loss,,f,2.0,%/transfer,lh2 shipping unloading/loading loss,
lh2_ship_loading_time,,f,48.0,h,lh2 shipping unloading/loading time,
lh2_ship_average_speed,,f,30.0,km/h,lh2 shipping average speed,
lh2_ship_capacity_mwh,,f,378666.0,MWh_LHV,lh2 shipping energy capacity,Corresponds to 11360 t H2 (l) with LHV of 33.3333 MWh/t_H2
lh2_ship_energy_demand,,f,0.413,MWh/km,lh2 shipping energy demand,
lh2_ship_fom,2020,f,4.0,%/year,lh2 shipping fixed operation and maintenance costs,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_fom,2030,f,4.0,%/year,lh2 shipping fixed operation and maintenance costs,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_fom,2040,f,4.0,%/year,lh2 shipping fixed operation and maintenance costs,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_fom,2050,f,4.0,%/year,lh2 shipping fixed operation and maintenance costs,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_cost,2020,f,398820000.0,EUR,lh2 shipping capital cost (overnight),"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_cost,2030,f,398820000.0,EUR,lh2 shipping capital cost (overnight),"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_cost,2040,f,398820000.0,EUR,lh2 shipping capital cost (overnight),"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_cost,2050,f,398820000.0,EUR,lh2 shipping capital cost (overnight),"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_lifetime,2020,f,20.0,years,lh2 shipping lifetime,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_lifetime,2030,f,20.0,years,lh2 shipping lifetime,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_lifetime,2040,f,20.0,years,lh2 shipping lifetime,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_lifetime,2050,f,20.0,years,lh2 shipping lifetime,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_capacity_t,2020,f,11000.0,t_H2,lh2 shipping mass capacity,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_capacity_t,2030,f,11000.0,t_H2,lh2 shipping mass capacity,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_capacity_t,2040,f,11000.0,t_H2,lh2 shipping mass capacity,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
lh2_ship_capacity_t,2050,f,11000.0,t_H2,lh2 shipping mass capacity,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019."
ft_ship_discount,,f,5,percent,ft shipping discount rate,
ft_ship_loading_loss,,f,0.0,%/transfer,ft shipping unloading/loading loss,"Guesstimate, transfer of simple non-cryogenic fluid."
ft_ship_loading_time,,f,48.0,h,ft shipping unloading/loading time,Assume same as for LOHC.
ft_ship_average_speed,,f,27.8,km/h,ft shipping average speed,Assume same as for LOHC.
ft_ship_capacity_mwh,,f,896250.0,MWh_LHV,ft shipping energy capacity,Based on FT fuel LHV of 11.95 MWh/t_FTfuel and 75000t capacity.
ft_ship_energy_demand,,f,0.2428,MWh/km,ft shipping energy demand,Assume same as for LOHC.
ft_ship_fom,2020,f,5.0,%/year,ft shipping fixed operation and maintenance costs,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_fom,2030,f,5.0,%/year,ft shipping fixed operation and maintenance costs,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_fom,2040,f,5.0,%/year,ft shipping fixed operation and maintenance costs,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_fom,2050,f,5.0,%/year,ft shipping fixed operation and maintenance costs,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_cost,2020,f,35000000.0,EUR,ft shipping capital cost (overnight),"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_cost,2030,f,35000000.0,EUR,ft shipping capital cost (overnight),"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_cost,2040,f,35000000.0,EUR,ft shipping capital cost (overnight),"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_cost,2050,f,35000000.0,EUR,ft shipping capital cost (overnight),"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_lifetime,2020,f,15.0,years,ft shipping lifetime,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_lifetime,2030,f,15.0,years,ft shipping lifetime,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_lifetime,2040,f,15.0,years,ft shipping lifetime,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_lifetime,2050,f,15.0,years,ft shipping lifetime,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_capacity_t,2020,f,75000.0,t_FTfuel,ft shipping mass capacity,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_capacity_t,2030,f,75000.0,t_FTfuel,ft shipping mass capacity,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_capacity_t,2040,f,75000.0,t_FTfuel,ft shipping mass capacity,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
ft_ship_capacity_t,2050,f,75000.0,t_FTfuel,ft shipping mass capacity,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 ."
